Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,genome_001,genome_002,genome_003,genome_004,genome_005,genome_006,genome_007,genome_008,genome_009,genome_010,genome_011,genome_012,genome_013,genome_014,genome_015,genome_016,genome_017,genome_018,genome_019,genome_020,genome_021,genome_022,genome_023,genome_024,genome_025,genome_026,genome_027,genome_028,genome_029,genome_030
group_0000,group_0000,efflux pump,,,,,,,,,,,,group_0000_genome_001_0,group_0000_genome_002_0,group_0000_genome_003_0,group_0000_genome_004_0;group_0000_genome_004_1,group_0000_genome_005_0,group_0000_genome_006_0,group_0000_genome_007_0,group_0000_genome_008_0,group_0000_genome_009_0;group_0000_genome_009_1,group_0000_genome_010_0,group_0000_genome_011_0,group_0000_genome_012_0,group_0000_genome_013_0,group_0000_genome_014_0,group_0000_genome_015_0,group_0000_genome_016_0,group_0000_genome_017_0,group_0000_genome_018_0,group_0000_genome_019_0,group_0000_genome_020_0,group_0000_genome_021_0,group_0000_genome_022_0,group_0000_genome_023_0,group_0000_genome_024_0,group_0000_genome_025_0,group_0000_genome_026_0,group_0000_genome_027_0,group_0000_genome_028_0,group_0000_genome_029_0,
group_0001,group_0001,flagellar protein,,,,,,,,,,,,,,group_0001_genome_003_0,group_0001_genome_004_0,group_0001_genome_005_0,,group_0001_genome_007_0,group_0001_genome_008_0,group_0001_genome_009_0,group_0001_genome_010_0,group_0001_genome_011_0,,group_0001_genome_013_0,,group_0001_genome_015_0,group_0001_genome_016_0,,,group_0001_genome_019_0,group_0001_genome_020_0,group_0001_genome_021_0,,group_0001_genome_023_0,,group_0001_genome_025_0,,group_0001_genome_027_0,group_0001_genome_028_0,,group_0001_genome_030_0
group_0002,group_0002,hypothetical protein,,,,,,,,,,,,group_0002_genome_001_0,,group_0002_genome_003_0,group_0002_genome_004_0,,,,group_0002_genome_008_0,group_0002_genome_009_0,,,group_0002_genome_012_0,group_0002_genome_013_0,,,,group_0002_genome_017_0,,,group_0002_genome_020_0,,,,,,,group_0002_genome_027_0,group_0002_genome_028_0,group_0002_genome_029_0,group_0002_genome_030_0;group_0002_genome_030_1
group_0003,group_0003,flagellar protein,,,,,,,,,,,,group_0003_genome_001_0,group_0003_genome_002_0,group_0003_genome_003_0,group_0003_genome_004_0,group_0003_genome_005_0,,,group_0003_genome_008_0,group_0003_genome_009_0,group_0003_genome_010_0,group_0003_genome_011_0,,group_0003_genome_013_0,,group_0003_genome_015_0,,group_0003_genome_017_0,group_0003_genome_018_0,group_0003_genome_019_0,,group_0003_genome_021_0,,group_0003_genome_023_0,group_0003_genome_024_0;group_0003_genome_024_1,group_0003_genome_025_0,group_0003_genome_026_0,group_0003_genome_027_0,,group_0003_genome_029_0;group_0003_genome_029_1,group_0003_genome_030_0
group_0004,group_0004,,,,,,,,,,,,,group_0004_genome_001_0,group_0004_genome_002_0,group_0004_genome_003_0,group_0004_genome_004_0,group_0004_genome_005_0,group_0004_genome_006_0,group_0004_genome_007_0,group_0004_genome_008_0,group_0004_genome_009_0,group_0004_genome_010_0,group_0004_genome_011_0,group_0004_genome_012_0,group_0004_genome_013_0,group_0004_genome_014_0,group_0004_genome_015_0,group_0004_genome_016_0,group_0004_genome_017_0,group_0004_genome_018_0,group_0004_genome_019_0,group_0004_genome_020_0;group_0004_genome_020_1,group_0004_genome_021_0,group_0004_genome_022_0,group_0004_genome_023_0,group_0004_genome_024_0,group_0004_genome_025_0,group_0004_genome_026_0,group_0004_genome_027_0,group_0004_genome_028_0,group_0004_genome_029_0,group_0004_genome_030_0
group_0005,group_0005,hypothetical protein,,,,,,,,,,,,group_0005_genome_001_0,group_0005_genome_002_0,group_0005_genome_003_0,group_0005_genome_004_0,group_0005_genome_005_0,group_0005_genome_006_0,group_0005_genome_007_0,group_0005_genome_008_0,group_0005_genome_009_0,group_0005_genome_010_0,group_0005_genome_011_0,group_0005_genome_012_0,group_0005_genome_013_0,group_0005_genome_014_0,group_0005_genome_015_0,group_0005_genome_016_0,group_0005_genome_017_0,group_0005_genome_018_0,group_0005_genome_019_0,group_0005_genome_020_0,group_0005_genome_021_0,group_0005_genome_022_0,group_0005_genome_023_0,group_0005_genome_024_0,group_0005_genome_025_0,group_0005_genome_026_0,group_0005_genome_027_0,group_0005_genome_028_0,group_0005_genome_029_0,group_0005_genome_030_0
group_0006,group_0006,,,,,,,,,,,,,group_0006_genome_001_0,group_0006_genome_002_0,group_0006_genome_003_0;group_0006_genome_003_1,group_0006_genome_004_0,group_0006_genome_005_0,group_0006_genome_006_0,group_0006_genome_007_0,group_0006_genome_008_0,group_0006_genome_009_0,group_0006_genome_010_0,group_0006_genome_011_0,group_0006_genome_012_0,group_0006_genome_013_0,group_0006_genome_014_0,group_0006_genome_015_0,group_0006_genome_016_0;group_0006_genome_016_1,group_0006_genome_017_0,group_0006_genome_018_0,group_0006_genome_019_0,group_0006_genome_020_0,group_0006_genome_021_0,group_0006_genome_022_0,group_0006_genome_023_0,group_0006_genome_024_0,group_0006_genome_025_0,group_0006_genome_026_0,group_0006_genome_027_0,group_0006_genome_028_0,group_0006_genome_029_0;group_0006_genome_029_1,group_0006_genome_030_0
group_0007,group_0007,membrane transporter,,,,,,,,,,,,group_0007_genome_001_0,group_0007_genome_002_0,group_0007_genome_003_0,group_0007_genome_004_0,group_0007_genome_005_0,group_0007_genome_006_0,group_0007_genome_007_0,group_0007_genome_008_0;group_0007_genome_008_1,group_0007_genome_009_0,group_0007_genome_010_0,group_0007_genome_011_0,group_0007_genome_012_0,group_0007_genome_013_0,group_0007_genome_014_0;group_0007_genome_014_1,group_0007_genome_015_0,group_0007_genome_016_0,group_0007_genome_017_0,group_0007_genome_018_0,group_0007_genome_019_0,group_0007_genome_020_0,group_0007_genome_021_0,group_0007_genome_022_0,group_0007_genome_023_0,group_0007_genome_024_0,group_0007_genome_025_0,group_0007_genome_026_0,group_0007_genome_027_0,group_0007_genome_028_0,group_0007_genome_029_0,group_0007_genome_030_0
group_0008,group_0008,efflux pump,,,,,,,,,,,,group_0008_genome_001_0,,group_0008_genome_003_0,group_0008_genome_004_0,group_0008_genome_005_0,group_0008_genome_006_0,group_0008_genome_007_0,group_0008_genome_008_0,,group_0008_genome_010_0,group_0008_genome_011_0,,group_0008_genome_013_0,,,group_0008_genome_016_0,,,group_0008_genome_019_0,group_0008_genome_020_0,,,,,,,group_0008_genome_027_0,group_0008_genome_028_0,group_0008_genome_029_0,
group_0009,group_0009,hypothetical protein,,,,,,,,,,,,group_0009_genome_001_0,group_0009_genome_002_0,group_0009_genome_003_0,group_0009_genome_004_0,group_0009_genome_005_0;group_0009_genome_005_1,group_0009_genome_006_0,group_0009_genome_007_0,group_0009_genome_008_0,group_0009_genome_009_0,group_0009_genome_010_0;group_0009_genome_010_1,group_0009_genome_011_0,group_0009_genome_012_0,group_0009_genome_013_0,group_0009_genome_014_0,group_0009_genome_015_0,group_0009_genome_016_0,group_0009_genome_017_0,group_0009_genome_018_0,group_0009_genome_019_0,group_0009_genome_020_0,group_0009_genome_021_0,group_0009_genome_022_0,group_0009_genome_023_0,group_0009_genome_024_0,,group_0009_genome_026_0,group_0009_genome_027_0,group_0009_genome_028_0,group_0009_genome_029_0,group_0009_genome_030_0
