Gene_1,Gene_2,p_value
group_0053,group_0237,0.04552
group_0120,group_0096,0.04902
group_0101,group_0107,0.00374
group_0161,group_0050,0.03895
group_0069,group_0086,0.00445
group_0085,group_0003,0.04821
group_0194,group_0236,0.00599
group_0063,group_0180,0.00514
group_0015,group_0119,0.03987
group_0045,group_0174,0.02801
group_0114,group_0130,0.00962
group_0187,group_0196,0.00664
group_0164,group_0098,0.00591
group_0107,group_0054,0.00012
group_0221,group_0248,0.04875
group_0151,group_0077,0.0499
group_0005,group_0053,0.00945
group_0218,group_0154,0.03213
group_0025,group_0010,0.04947
group_0054,group_0113,0.01299
