gene_id,annotation
group_0000_genome_001_0,efflux pump
group_0000_genome_002_0,efflux pump
group_0000_genome_003_0,efflux pump
group_0000_genome_004_0,unknown function
group_0000_genome_004_1,unknown function
group_0000_genome_005_0,unknown function
group_0000_genome_006_0,efflux pump
group_0000_genome_007_0,membrane protein
group_0000_genome_008_0,hypothetical protein
group_0000_genome_009_0,efflux pump
group_0000_genome_009_1,unknown function
group_0000_genome_010_0,hypothetical protein
group_0000_genome_011_0,efflux pump
group_0000_genome_012_0,efflux pump
group_0000_genome_013_0,unknown function
group_0000_genome_014_0,efflux pump
group_0000_genome_015_0,efflux pump
group_0000_genome_016_0,hypothetical protein
group_0000_genome_017_0,efflux pump
group_0000_genome_018_0,hypothetical protein
group_0000_genome_019_0,efflux pump
group_0000_genome_020_0,efflux pump
group_0000_genome_021_0,efflux pump
group_0000_genome_022_0,unknown function
group_0000_genome_023_0,efflux pump
group_0000_genome_024_0,efflux pump
group_0000_genome_025_0,efflux pump
group_0000_genome_026_0,hypothetical protein
group_0000_genome_027_0,efflux pump
group_0000_genome_028_0,efflux pump
group_0000_genome_029_0,efflux pump
group_0001_genome_003_0,flagellar protein
group_0001_genome_004_0,flagellar protein
group_0001_genome_005_0,flagellar protein
group_0001_genome_007_0,flagellar protein
group_0001_genome_008_0,flagellar protein
group_0001_genome_009_0,flagellar protein
group_0001_genome_010_0,flagellar protein
group_0001_genome_011_0,membrane protein
group_0001_genome_013_0,flagellar protein
group_0001_genome_015_0,flagellar protein
group_0001_genome_016_0,flagellar protein
group_0001_genome_019_0,flagellar protein
group_0001_genome_020_0,flagellar protein
group_0001_genome_021_0,membrane protein
group_0001_genome_023_0,flagellar protein
group_0001_genome_025_0,flagellar protein
group_0001_genome_027_0,flagellar protein
group_0001_genome_028_0,flagellar protein
group_0001_genome_030_0,flagellar protein
group_0002_genome_001_0,unknown function
group_0002_genome_003_0,hypothetical protein
group_0002_genome_004_0,hypothetical protein
group_0002_genome_008_0,hypothetical protein
group_0002_genome_009_0,hypothetical protein
group_0002_genome_012_0,hypothetical protein
group_0002_genome_013_0,hypothetical protein
group_0002_genome_017_0,hypothetical protein
group_0002_genome_020_0,hypothetical protein
group_0002_genome_027_0,hypothetical protein
group_0002_genome_028_0,hypothetical protein
group_0002_genome_029_0,hypothetical protein
group_0002_genome_030_0,unknown function
group_0002_genome_030_1,hypothetical protein
group_0003_genome_001_0,flagellar protein
group_0003_genome_002_0,flagellar protein
group_0003_genome_003_0,flagellar protein
group_0003_genome_004_0,flagellar protein
group_0003_genome_005_0,flagellar protein
group_0003_genome_008_0,flagellar protein
group_0003_genome_009_0,flagellar protein
group_0003_genome_010_0,flagellar protein
group_0003_genome_011_0,flagellar protein
group_0003_genome_013_0,flagellar protein
group_0003_genome_015_0,flagellar protein
group_0003_genome_017_0,flagellar protein
group_0003_genome_018_0,flagellar protein
group_0003_genome_019_0,flagellar protein
group_0003_genome_021_0,flagellar protein
group_0003_genome_023_0,flagellar protein
group_0003_genome_024_0,flagellar protein
group_0003_genome_024_1,flagellar protein
group_0003_genome_025_0,flagellar protein
group_0003_genome_026_0,membrane protein
group_0003_genome_027_0,flagellar protein
group_0003_genome_029_0,flagellar protein
group_0003_genome_029_1,flagellar protein
group_0003_genome_030_0,flagellar protein
group_0004_genome_001_0,hypothetical protein
group_0004_genome_002_0,hypothetical protein
group_0004_genome_003_0,hypothetical protein
group_0004_genome_004_0,hypothetical protein
group_0004_genome_005_0,hypothetical protein
group_0004_genome_006_0,hypothetical protein
group_0004_genome_007_0,hypothetical protein
group_0004_genome_008_0,hypothetical protein
group_0004_genome_009_0,hypothetical protein
group_0004_genome_010_0,membrane protein
group_0004_genome_011_0,hypothetical protein
group_0004_genome_012_0,hypothetical protein
group_0004_genome_013_0,hypothetical protein
group_0004_genome_014_0,unknown function
group_0004_genome_015_0,hypothetical protein
group_0004_genome_016_0,hypothetical protein
group_0004_genome_017_0,hypothetical protein
group_0004_genome_018_0,hypothetical protein
group_0004_genome_019_0,hypothetical protein
group_0004_genome_020_0,hypothetical protein
group_0004_genome_020_1,hypothetical protein
group_0004_genome_021_0,hypothetical protein
group_0004_genome_022_0,hypothetical protein
group_0004_genome_023_0,hypothetical protein
group_0004_genome_024_0,hypothetical protein
group_0004_genome_025_0,hypothetical protein
group_0004_genome_026_0,hypothetical protein
group_0004_genome_027_0,hypothetical protein
group_0004_genome_028_0,hypothetical protein
group_0004_genome_029_0,unknown function
group_0004_genome_030_0,hypothetical protein
group_0005_genome_001_0,hypothetical protein
group_0005_genome_002_0,hypothetical protein
group_0005_genome_003_0,hypothetical protein
group_0005_genome_004_0,hypothetical protein
group_0005_genome_005_0,hypothetical protein
group_0005_genome_006_0,hypothetical protein
group_0005_genome_007_0,membrane protein
group_0005_genome_008_0,hypothetical protein
group_0005_genome_009_0,hypothetical protein
group_0005_genome_010_0,hypothetical protein
group_0005_genome_011_0,membrane protein
group_0005_genome_012_0,hypothetical protein
