group_id,category
group_0207,AMR
group_0096,AMR
group_0093,AMR
group_0032,AMR
group_0204,AMR
group_0121,AMR
group_0022,AMR
group_0004,AMR
group_0006,AMR
group_0038,AMR
group_0128,AMR
group_0056,AMR
group_0163,AMR
group_0020,AMR
group_0208,AMR
group_0023,AMR
group_0141,AMR
group_0049,AMR
group_0154,AMR
group_0132,AMR
group_0018,Virulence
group_0035,Virulence
group_0074,Virulence
group_0210,Virulence
group_0248,Virulence
group_0106,Virulence
group_0112,Virulence
group_0064,Virulence
group_0150,Virulence
group_0061,Virulence
group_0080,Virulence
group_0214,Virulence
group_0246,Virulence
group_0012,Virulence
group_0144,Virulence
not_a_real_group,AMR
