Gene_1,Gene_2,p_value
group_0115,group_0221,0.02803
group_0236,group_0199,0.02334
group_0130,group_0218,0.02941
group_0047,group_0205,0.02564
group_0161,group_0157,0.03967
group_0024,group_0114,0.01524
group_0023,group_0137,0.0405
group_0177,group_0162,0.00219
group_0101,group_0246,0.0227
group_0189,group_0157,0.03254
group_0159,group_0003,0.0416
group_0016,group_0015,0.00188
group_0225,group_0061,0.03002
group_0199,group_0118,0.01638
group_0151,group_0215,0.00985
group_0059,group_0163,0.01478
group_0001,group_0169,0.00434
group_0167,group_0071,0.0204
group_0141,group_0238,0.04203
group_0181,group_0065,0.01583
group_0058,group_0131,0.01452
group_0017,group_0144,0.03834
group_0102,group_0027,0.04234
group_0098,group_0017,0.04791
group_0216,group_0175,0.00013
group_0000,not_a_real_group,0.01
